Year,<18,18-24,25-44,45-64,65+
2006,25189.0,66027.0,117782.0,39463.0,1574.0
2007,115.0,148.0,218.0,70.0,8.0
2008,102.0,142.0,235.0,72.0,9.0
2009,98.0,142.0,207.0,81.0,7.0
2010,118.0,134.0,207.0,68.0,6.0
2011,88.0,144.0,218.0,89.0,8.0
2012,72.0,111.0,178.0,83.0,8.0
2013,62.0,98.0,177.0,73.0,5.0
2014,55.0,96.0,193.0,66.0,7.0
2015,60.0,121.0,236.0,98.0,12.0
2016,16056.0,67765.0,126402.0,49539.0,2523.0
2017,16141.0,69144.0,142105.0,53568.0,2895.0
2018,11919.0,52325.0,127628.0,49360.0,2966.0
2019,10260.0,43275.0,113292.0,43249.0,3013.0
2020,5842.0,28147.0,76489.0,26776.0,1733.0
2021,4799.0,28741.0,87873.0,30329.0,2269.0
2022,6785.0,32882.0,107928.0,37224.0,2851.0
2023,2090.0,9406.0,31203.0,10659.0,798.0
