Year,Staten Island,Bronx,Brooklyn,Queens,Manhattan
2006,8475,56333,69377,47621,68230
2007,26,111,198,97,127
2008,41,120,177,100,122
2009,32,114,170,103,116
2010,42,100,190,71,130
2011,38,123,172,96,118
2012,25,94,147,84,102
2013,17,80,149,66,103
2014,26,113,125,71,82
2015,24,135,138,85,145
2016,10511,57543,73499,50599,70133
2017,11331,62251,79789,55344,75138
2018,10347,54871,67958,49541,61481
2019,8995,48516,58077,44329,53172
2020,6172,32372,38022,29818,32603
2021,7195,33646,41312,32814,39044
2022,8323,43633,50633,39034,46047
2023,2324,12766,15165,11579,12322
