ARREST_DATE,Felony,Infraction,Misdemeanor,Unspecified,Violation
2006-01-01,164.0,6.0,348.0,,32.0
2006-01-08,2067.0,34.0,4457.0,,331.0
2006-01-15,2073.0,42.0,4817.0,,348.0
2006-01-22,1981.0,33.0,4655.0,,371.0
2006-01-29,2017.0,58.0,4982.0,,426.0
2006-02-05,2025.0,46.0,4858.0,,453.0
2006-02-12,1909.0,34.0,4862.0,,349.0
2006-02-19,1869.0,46.0,4852.0,,405.0
2006-02-26,1890.0,31.0,4839.0,,364.0
2006-03-05,1930.0,48.0,4922.0,,344.0
2006-03-12,2110.0,31.0,5277.0,,431.0
2006-03-19,1922.0,37.0,5122.0,,387.0
2006-03-26,2078.0,43.0,5140.0,,399.0
2006-04-02,1947.0,42.0,4822.0,,396.0
2006-04-09,2200.0,35.0,5053.0,,396.0
2006-04-16,1917.0,43.0,4822.0,,363.0
2006-04-23,1941.0,27.0,4622.0,,274.0
2006-04-30,2038.0,40.0,4676.0,,431.0
2006-05-07,2047.0,38.0,5072.0,,404.0
2006-05-14,2172.0,38.0,4928.0,,409.0
2006-05-21,1935.0,43.0,4675.0,,420.0
2006-05-28,1971.0,51.0,4857.0,,418.0
2006-06-04,1815.0,35.0,4211.0,,378.0
2006-06-11,1988.0,41.0,4901.0,,400.0
2006-06-18,2128.0,45.0,4721.0,,361.0
2006-06-25,2082.0,32.0,4604.0,,398.0
2006-07-02,1826.0,34.0,4244.0,,436.0
2006-07-09,1796.0,32.0,4507.0,,419.0
2006-07-16,2076.0,27.0,4733.0,,461.0
2006-07-23,2073.0,19.0,4488.0,,393.0
2006-07-30,1980.0,26.0,4640.0,,423.0
2006-08-06,1976.0,30.0,4469.0,,396.0
2006-08-13,2087.0,42.0,4985.0,,446.0
2006-08-20,1978.0,38.0,4944.0,,464.0
2006-08-27,1638.0,37.0,3717.0,,352.0
2006-09-03,557.0,11.0,1230.0,,110.0
2006-09-10,567.0,11.0,1359.0,,123.0
2006-09-17,445.0,5.0,1130.0,,108.0
2006-09-24,7.0,,7.0,,
2006-10-01,1.0,,3.0,,1.0
2006-10-08,11.0,,4.0,,1.0
2006-10-15,8.0,,4.0,,
2006-10-22,4.0,1.0,10.0,,1.0
2006-10-29,4.0,,2.0,,
2006-11-05,6.0,,6.0,,
2006-11-12,6.0,,6.0,,
2006-11-19,5.0,,2.0,,1.0
2006-11-26,3.0,,3.0,,
2006-12-03,6.0,,3.0,,
2006-12-10,8.0,,6.0,,
2006-12-17,7.0,,2.0,,
2006-12-24,3.0,,2.0,,
2006-12-31,3.0,,3.0,,
2007-01-07,5.0,,4.0,,
2007-01-14,11.0,,8.0,,
2007-01-21,9.0,,6.0,,
2007-01-28,7.0,,6.0,,
2007-02-04,8.0,,4.0,,
2007-02-11,7.0,,2.0,,
2007-02-18,7.0,,5.0,,
2007-02-25,5.0,,7.0,,
2007-03-04,11.0,,9.0,,
2007-03-11,7.0,,3.0,,
2007-03-18,9.0,,6.0,,
2007-03-25,7.0,,7.0,,
2007-04-01,9.0,,2.0,,
2007-04-08,7.0,,2.0,,
2007-04-15,5.0,,4.0,,
2007-04-22,8.0,,3.0,,
2007-04-29,6.0,,4.0,,
2007-05-06,4.0,,6.0,,
2007-05-13,5.0,,1.0,,1.0
2007-05-20,4.0,,10.0,,
2007-05-27,6.0,,2.0,,
2007-06-03,3.0,,,,
2007-06-10,7.0,,2.0,,
2007-06-17,9.0,,11.0,,
2007-06-24,8.0,,1.0,,
2007-07-01,9.0,,2.0,,
2007-07-08,5.0,,5.0,,
2007-07-15,6.0,,7.0,,
2007-07-22,5.0,,6.0,,1.0
2007-07-29,7.0,,5.0,,
2007-08-05,5.0,,2.0,,2.0
2007-08-12,9.0,,1.0,,
2007-08-19,12.0,,3.0,,
2007-08-26,7.0,,1.0,,
2007-09-02,6.0,,1.0,,
2007-09-09,5.0,,3.0,,
2007-09-16,7.0,,5.0,,
2007-09-23,3.0,,4.0,,
2007-09-30,8.0,,5.0,,
2007-10-07,5.0,,4.0,,
2007-10-14,3.0,,1.0,,
2007-10-21,5.0,,5.0,,
2007-10-28,7.0,,2.0,,
2007-11-04,7.0,,4.0,,
2007-11-11,4.0,,6.0,,
2007-11-18,7.0,1.0,5.0,,
2007-11-25,4.0,,4.0,,
2007-12-02,6.0,,4.0,,
2007-12-09,10.0,,4.0,,
2007-12-16,4.0,,4.0,,
2007-12-23,5.0,,6.0,,
2007-12-30,3.0,,2.0,,
2008-01-06,6.0,,3.0,,
2008-01-13,10.0,,7.0,,
2008-01-20,12.0,,7.0,,
2008-01-27,3.0,,8.0,,1.0
2008-02-03,7.0,,3.0,,
2008-02-10,5.0,,5.0,,
2008-02-17,12.0,,7.0,,
2008-02-24,9.0,,4.0,,
2008-03-02,6.0,,6.0,,1.0
2008-03-09,7.0,,1.0,,
2008-03-16,5.0,,4.0,,
2008-03-23,8.0,,8.0,,1.0
2008-03-30,4.0,,9.0,,
2008-04-06,6.0,,4.0,,1.0
2008-04-13,1.0,,7.0,,
2008-04-20,3.0,,2.0,,
2008-04-27,4.0,,7.0,,
2008-05-04,6.0,,4.0,,
2008-05-11,1.0,,3.0,,
2008-05-18,7.0,,5.0,,
2008-05-25,6.0,,4.0,,
2008-06-01,3.0,,7.0,,
2008-06-08,7.0,,7.0,,
2008-06-15,9.0,,2.0,,
2008-06-22,4.0,,4.0,,
2008-06-29,9.0,,4.0,,
2008-07-06,6.0,,3.0,,
2008-07-13,3.0,,7.0,,
2008-07-20,7.0,,3.0,,
2008-07-27,7.0,,2.0,,1.0
2008-08-03,8.0,,4.0,,
2008-08-10,5.0,,7.0,,
2008-08-17,6.0,,3.0,,1.0
2008-08-24,5.0,,4.0,,
2008-08-31,8.0,,8.0,,
2008-09-07,5.0,,2.0,,
2008-09-14,5.0,,4.0,,
2008-09-21,5.0,,6.0,,
2008-09-28,4.0,,4.0,,
2008-10-05,5.0,,3.0,,
2008-10-12,11.0,,7.0,,
2008-10-19,1.0,,6.0,,
